(copy of rankings_CPX_all_completed_21Jun2026-17h06.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,CPX_T-0.0001_ILP_flow,CPX_T-0.0001_ILP_flow_strong,CPX_T-0.0001_Std,CPX_F_T-0.0001_Std,CPX_T-0.0001_Std_Decomp,CPX_F_T-0.0001_Std_Decomp,CPX_T-0.0001_Fisch,CPX_F_T-0.0001_Fisch,CPX_U_T-0.0001_Fisch,CPX_F_U_T-0.0001_Fisch,CPX_T-0.0001_StatBS,CPX_F_T-0.0001_StatBS,CPX_U_T-0.0001_StatBS,CPX_F_U_T-0.0001_StatBS,CPX_G-0.1_M-1_T-0.0001_AdaptBS,CPX_F_G-0.1_M-1_T-0.0001_AdaptBS,CPX_G-0.5_M-1_T-0.0001_AdaptBS,CPX_F_G-0.5_M-1_T-0.0001_AdaptBS,CPX_M-1_T-0.0001_AdaptBS,CPX_F_M-1_T-0.0001_AdaptBS,CPX_E-2_T-0.0001_Seo,CPX_F_E-2_T-0.0001_Seo,CPX_E-4_T-0.0001_Seo,CPX_F_E-4_T-0.0001_Seo,CPX_R-0_T-0.0001_HT,CPX_F_R-0_T-0.0001_HT,CPX_R-1_T-0.0001_HT,CPX_F_R-1_T-0.0001_HT,CPX_R-2_T-0.0001_HT,CPX_F_R-2_T-0.0001_HT,CPX_P-1.0_L-0.5_A_T-0.0001_MW,CPX_F_P-1.0_L-0.5_A_T-0.0001_MW,CPX_P-1.0_L-0.5_T-0.0001_Papa,CPX_F_P-1.0_L-0.5_T-0.0001_Papa,CPX_H-0.1_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.1_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.1_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.1_G-0.75_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.5_G-0.75_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.1_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.25_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.25_M-1_T-0.0001_Glomb,CPX_H-0.9_G-0.75_M-1_T-0.0001_Glomb,CPX_F_H-0.9_G-0.75_M-1_T-0.0001_Glomb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,153,153,0,0,0,140,136,138,144,146,136,133,149,146,0,0,0,0,0,133,0,42,0,0,0,0,137,128,135,130,0,142,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,0,0,0
Ratio of valid computations:,,0.944444444,0.944444444,0,0,0,0.864197531,0.839506173,0.851851852,0.888888889,0.901234568,0.839506173,0.820987654,0.919753086,0.901234568,0,0,0,0,0,0.820987654,0,0.259259259,0,0,0,0,0.845679012,0.790123457,0.833333333,0.802469136,0,0.87654321,0,0,0,0,0,0,0,0,0.913580247,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of invalid computations:,,9,9,162,162,162,22,26,24,18,16,26,29,13,16,162,162,162,162,162,29,162,120,162,162,162,162,25,34,27,32,162,20,162,162,162,162,162,162,162,162,14,162,162,162,162,162,162,162,162,162,162,162
Ratio of invalid computations:,,0.055555556,0.055555556,1,1,1,0.135802469,0.160493827,0.148148148,0.111111111,0.098765432,0.160493827,0.179012346,0.080246914,0.098765432,1,1,1,1,1,0.179012346,1,0.740740741,1,1,1,1,0.154320988,0.209876543,0.166666667,0.197530864,1,0.12345679,1,1,1,1,1,1,1,1,0.086419753,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block A: Report on networks solvable inside the time limit (36000s) through at least one Benders method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations on Benders solvable networks:,,89,89,0,0,0,77,73,76,84,85,78,73,87,86,0,0,0,0,0,85,0,18,0,0,0,0,81,75,77,70,0,80,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0
Ratio of valid computations on Benders solvable networks:,,0.549382716,0.549382716,0,0,0,0.475308642,0.450617284,0.469135802,0.518518519,0.524691358,0.481481481,0.450617284,0.537037037,0.530864198,0,0,0,0,0,0.524691358,0,0.111111111,0,0,0,0,0.5,0.462962963,0.475308642,0.432098765,0,0.49382716,0,0,0,0,0,0,0,0,0.518518519,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block A1: Computations with methods finishing inside time limit (36000s) about networks in Block A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,89,89,0,0,0,64,56,61,68,73,60,71,70,86,0,0,0,0,0,67,0,6,0,0,0,0,62,70,59,67,0,60,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,0,0,0
Ratio of valid computations:,,0.549382716,0.549382716,0,0,0,0.395061728,0.345679012,0.37654321,0.419753086,0.450617284,0.37037037,0.438271605,0.432098765,0.530864198,0,0,0,0,0,0.413580247,0,0.037037037,0,0,0,0,0.382716049,0.432098765,0.364197531,0.413580247,0,0.37037037,0,0,0,0,0,0,0,0,0.432098765,0,0,0,0,0,0,0,0,0,0,0
Rank of computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,1.685393258,1.404494382,nan,nan,nan,9.65625,9.25,9.360655738,10.66176471,10.32876712,9.416666667,5.352112676,10.91428571,6.895348837,nan,nan,nan,nan,nan,10.26865672,nan,12.33333333,nan,nan,nan,nan,12.16129032,9.228571429,9.915254237,5.791044776,nan,13.01666667,nan,nan,nan,nan,nan,nan,nan,nan,8.3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,std error of mean:,0.058589889,0.064972781,nan,nan,nan,0.703374522,0.43466648,0.353910687,0.428549847,0.433645405,0.488928344,0.343903512,0.48307808,0.42914037,nan,nan,nan,nan,nan,0.5177113,nan,1.521451549,nan,nan,nan,nan,0.343812218,0.531908934,0.478367505,0.386066819,nan,0.53670376,nan,nan,nan,nan,nan,nan,nan,nan,0.44554484,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
,0.25 quantile:,1,1,nan,nan,nan,3,7,7,8,8,6,3,7,4,nan,nan,nan,nan,nan,7,nan,9.5,nan,nan,nan,nan,11,6,6.5,4,nan,9,nan,nan,nan,nan,nan,nan,nan,nan,5,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
