(copy of rankings_GRB_all_Std_cautious_Papa_rev_algo_1May2026-8h37.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared based on their rankings with respect to several measures of performance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,GRB_T-0.0001_ILP_flow,GRB_T-0.0001_ILP_flow_strong,GRB_T-0.0001_Std,GRB_F_T-0.0001_Std,GRB_T-0.0001_Std_Decomp,GRB_F_T-0.0001_Std_Decomp,GRB_T-0.0001_Fisch,GRB_F_T-0.0001_Fisch,GRB_U_T-0.0001_Fisch,GRB_F_U_T-0.0001_Fisch,GRB_T-0.0001_StatBS,GRB_F_T-0.0001_StatBS,GRB_U_T-0.0001_StatBS,GRB_F_U_T-0.0001_StatBS,GRB_G-0.1_M-1_T-0.0001_AdaptBS,GRB_F_G-0.1_M-1_T-0.0001_AdaptBS,GRB_G-0.5_M-1_T-0.0001_AdaptBS,GRB_F_G-0.5_M-1_T-0.0001_AdaptBS,GRB_M-1_T-0.0001_AdaptBS,GRB_F_M-1_T-0.0001_AdaptBS,GRB_E-2_T-0.0001_Seo,GRB_F_E-2_T-0.0001_Seo,GRB_E-4_T-0.0001_Seo,GRB_F_E-4_T-0.0001_Seo,GRB_R-0_T-0.0001_HT,GRB_F_R-0_T-0.0001_HT,GRB_R-1_T-0.0001_HT,GRB_F_R-1_T-0.0001_HT,GRB_R-2_T-0.0001_HT,GRB_F_R-2_T-0.0001_HT,GRB_P-1.0_L-0.5_A_T-0.0001_MW,GRB_F_P-1.0_L-0.5_A_T-0.0001_MW,GRB_P-1.0_L-0.5_T-0.0001_Papa,GRB_F_P-1.0_L-0.5_T-0.0001_Papa,GRB_H-0.1_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.1_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.1_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.1_G-0.75_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.5_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.5_G-0.75_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.1_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.1_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.25_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.25_M-1_T-0.0001_Glomb,GRB_H-0.9_G-0.75_M-1_T-0.0001_Glomb,GRB_F_H-0.9_G-0.75_M-1_T-0.0001_Glomb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,153,153,122,89,144,150,153,153,153,153,151,150,151,153,153,153,147,150,147,150,137,139,137,139,82,122,152,148,151,151,140,151,143,152,152,70,152,52,151,5,152,70,153,52,151,5,153,70,152,51,153,5
Ratio of valid computations:,,0.944444444,0.944444444,0.75308642,0.549382716,0.888888889,0.925925926,0.944444444,0.944444444,0.944444444,0.944444444,0.932098765,0.925925926,0.932098765,0.944444444,0.944444444,0.944444444,0.907407407,0.925925926,0.907407407,0.925925926,0.845679012,0.858024691,0.845679012,0.858024691,0.50617284,0.75308642,0.938271605,0.913580247,0.932098765,0.932098765,0.864197531,0.932098765,0.882716049,0.938271605,0.938271605,0.432098765,0.938271605,0.320987654,0.932098765,0.030864198,0.938271605,0.432098765,0.944444444,0.320987654,0.932098765,0.030864198,0.944444444,0.432098765,0.938271605,0.314814815,0.944444444,0.030864198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of invalid computations:,,9,9,40,73,18,12,9,9,9,9,11,12,11,9,9,9,15,12,15,12,25,23,25,23,80,40,10,14,11,11,22,11,19,10,10,92,10,110,11,157,10,92,9,110,11,157,9,92,10,111,9,157
Ratio of invalid computations:,,0.055555556,0.055555556,0.24691358,0.450617284,0.111111111,0.074074074,0.055555556,0.055555556,0.055555556,0.055555556,0.067901235,0.074074074,0.067901235,0.055555556,0.055555556,0.055555556,0.092592593,0.074074074,0.092592593,0.074074074,0.154320988,0.141975309,0.154320988,0.141975309,0.49382716,0.24691358,0.061728395,0.086419753,0.067901235,0.067901235,0.135802469,0.067901235,0.117283951,0.061728395,0.061728395,0.567901235,0.061728395,0.679012346,0.067901235,0.969135802,0.061728395,0.567901235,0.055555556,0.679012346,0.067901235,0.969135802,0.055555556,0.567901235,0.061728395,0.685185185,0.055555556,0.969135802
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block A: Report on networks solvable inside the time limit (36000s) through at least one Benders method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations on Benders solvable networks:,,90,90,84,81,89,89,90,90,90,90,90,90,90,90,90,90,90,89,89,89,88,88,88,88,59,84,90,89,90,90,88,89,84,89,89,13,90,7,89,5,89,13,90,7,88,5,90,13,90,7,90,5
Ratio of valid computations on Benders solvable networks:,,0.555555556,0.555555556,0.518518519,0.5,0.549382716,0.549382716,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.555555556,0.549382716,0.549382716,0.549382716,0.543209877,0.543209877,0.543209877,0.543209877,0.364197531,0.518518519,0.555555556,0.549382716,0.555555556,0.555555556,0.543209877,0.549382716,0.518518519,0.549382716,0.549382716,0.080246914,0.555555556,0.043209877,0.549382716,0.030864198,0.549382716,0.080246914,0.555555556,0.043209877,0.543209877,0.030864198,0.555555556,0.080246914,0.555555556,0.043209877,0.555555556,0.030864198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block A1: Computations with methods finishing inside time limit (36000s) about networks in Block A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
