(copy of rel_dist_GRB_all_Std_cautious_Papa_rev_algo_CPX_all_completed_30June2026-23h05_restricted.csv),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benders methods are compared with respect to several measures of performance based on their relative distances to minimum value over all Benders methods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(computations only over instances yielding isSolved >= 0 with both GRB and CPX),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of networks:,162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of methods:,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Methods (see legend below): ,,GRB_T-0.0001_ILP_flow,CPX_T-0.0001_ILP_flow,GRB_T-0.0001_ILP_flow_strong,CPX_T-0.0001_ILP_flow_strong,GRB_F_T-0.0001_Std_Decomp,CPX_F_T-0.0001_Std_Decomp,GRB_T-0.0001_Fisch,CPX_T-0.0001_Fisch,GRB_F_T-0.0001_Fisch,CPX_F_T-0.0001_Fisch,GRB_U_T-0.0001_Fisch,CPX_U_T-0.0001_Fisch,GRB_F_U_T-0.0001_Fisch,CPX_F_U_T-0.0001_Fisch,GRB_T-0.0001_StatBS,CPX_T-0.0001_StatBS,GRB_F_T-0.0001_StatBS,CPX_F_T-0.0001_StatBS,GRB_U_T-0.0001_StatBS,CPX_U_T-0.0001_StatBS,GRB_F_U_T-0.0001_StatBS,CPX_F_U_T-0.0001_StatBS,GRB_F_M-1_T-0.0001_AdaptBS,CPX_F_M-1_T-0.0001_AdaptBS,GRB_F_E-2_T-0.0001_Seo,CPX_F_E-2_T-0.0001_Seo,GRB_R-1_T-0.0001_HT,CPX_R-1_T-0.0001_HT,GRB_F_R-1_T-0.0001_HT,CPX_F_R-1_T-0.0001_HT,GRB_R-2_T-0.0001_HT,CPX_R-2_T-0.0001_HT,GRB_F_R-2_T-0.0001_HT,CPX_F_R-2_T-0.0001_HT,GRB_F_P-1.0_L-0.5_A_T-0.0001_MW,CPX_F_P-1.0_L-0.5_A_T-0.0001_MW,GRB_H-0.5_G-0.1_M-1_T-0.0001_Glomb,CPX_H-0.5_G-0.1_M-1_T-0.0001_Glomb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,153,153,153,153,137,137,136,136,138,138,144,144,146,146,135,135,132,132,147,147,146,146,131,131,38,38,136,136,126,126,135,135,128,128,140,140,148,148
Ratio of valid computations:,,0.944444444,0.944444444,0.944444444,0.944444444,0.845679012,0.845679012,0.839506173,0.839506173,0.851851852,0.851851852,0.888888889,0.888888889,0.901234568,0.901234568,0.833333333,0.833333333,0.814814815,0.814814815,0.907407407,0.907407407,0.901234568,0.901234568,0.808641975,0.808641975,0.234567901,0.234567901,0.839506173,0.839506173,0.777777778,0.777777778,0.833333333,0.833333333,0.790123457,0.790123457,0.864197531,0.864197531,0.913580247,0.913580247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of invalid computations:,,9,9,9,9,25,25,26,26,24,24,18,18,16,16,27,27,30,30,15,15,16,16,31,31,124,124,26,26,36,36,27,27,34,34,22,22,14,14
Ratio of invalid computations:,,0.055555556,0.055555556,0.055555556,0.055555556,0.154320988,0.154320988,0.160493827,0.160493827,0.148148148,0.148148148,0.111111111,0.111111111,0.098765432,0.098765432,0.166666667,0.166666667,0.185185185,0.185185185,0.092592593,0.092592593,0.098765432,0.098765432,0.191358025,0.191358025,0.765432099,0.765432099,0.160493827,0.160493827,0.222222222,0.222222222,0.166666667,0.166666667,0.209876543,0.209876543,0.135802469,0.135802469,0.086419753,0.086419753
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block A: Report on networks solvable inside the time limit (36000s) through at least one Benders method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations on Benders solvable networks:,,91,91,91,91,78,78,75,75,78,78,85,85,86,86,79,79,75,75,89,89,87,87,86,86,18,18,83,83,76,76,79,79,72,72,81,81,86,86
Ratio of valid computations on Benders solvable networks:,,0.561728395,0.561728395,0.561728395,0.561728395,0.481481481,0.481481481,0.462962963,0.462962963,0.481481481,0.481481481,0.524691358,0.524691358,0.530864198,0.530864198,0.487654321,0.487654321,0.462962963,0.462962963,0.549382716,0.549382716,0.537037037,0.537037037,0.530864198,0.530864198,0.111111111,0.111111111,0.512345679,0.512345679,0.469135802,0.469135802,0.487654321,0.487654321,0.444444444,0.444444444,0.5,0.5,0.530864198,0.530864198
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block A1: Computations with methods finishing inside time limit (36000s) about networks in Block A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Number of valid computations:,,91,91,91,91,69,63,59,56,67,61,69,68,76,73,63,60,73,71,71,70,86,86,73,67,13,6,65,62,74,70,62,59,71,67,66,60,73,70
Ratio of valid computations:,,0.561728395,0.561728395,0.561728395,0.561728395,0.425925926,0.388888889,0.364197531,0.345679012,0.413580247,0.37654321,0.425925926,0.419753086,0.469135802,0.450617284,0.388888889,0.37037037,0.450617284,0.438271605,0.438271605,0.432098765,0.530864198,0.530864198,0.450617284,0.413580247,0.080246914,0.037037037,0.401234568,0.382716049,0.456790123,0.432098765,0.382716049,0.364197531,0.438271605,0.413580247,0.407407407,0.37037037,0.450617284,0.432098765
Relative distance to minimum computation time:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,mean:,-0.808779435,-0.793876728,-0.800806254,-0.801264413,13.00362597,43.86788388,27.8196659,57.76899563,25.64098055,64.46827653,21.57288099,40.18033255,14.80066228,30.24037256,49.54591737,46.88927645,2.037409457,9.4016057,33.88934846,52.27791386,0.97359588,7.164471592,28.35843517,123.0033393,37.32224587,20.04766764,47.80103239,59.47690919,2.711846989,26.70592919,60.6437031,61.94948376,2.449598095,10.07507531,38.70621394,145.5462423,28.41882252,55.26257745
,std error of mean:,0.024092133,0.026890004,0.028060928,0.028400634,2.805539109,9.711696048,11.17931067,17.56863737,7.792525972,19.32543202,7.439928452,12.65875391,6.347355953,7.397071837,25.24187716,15.50693786,0.486494993,3.428535663,14.54882292,19.17524892,0.195440645,2.587588839,14.79500437,57.30501144,13.90588121,13.38280855,26.77519953,21.51432057,0.516672353,10.98092455,32.56239292,29.06572962,0.619519448,3.968447687,9.647907572,51.45802444,9.167393716,17.36078974
,0.25 quantile:,-0.97300999,-0.977841711,-0.977642793,-0.982087194,0.214898505,1.254485285,1.444616033,1.738008637,0.890077023,1.896481509,1.140471757,2.553864932,0.701386906,2.475484827,1.111506948,1.892951772,0.357589233,0.111185224,1.443292014,3.282852313,0.00199535,0.558146552,2.294151252,1.930260469,3.336089209,4.793886954,1.482957948,3.150351968,0.597160333,1.197754359,1.257634719,2.4029077,0.427091045,0.211529689,4.17234849,4.770717089,1.198037424,1.231131305
,median:,-0.893818304,-0.87884767,-0.915429959,-0.902678778,4.159343651,8.201820383,3.635149619,4.39260854,2.411667278,5.147333303,3.195601288,5.508851202,1.766725499,5.819129988,2.620262201,4.672844324,0.686180707,0.626407341,3.269485725,6.32590067,0.333112229,1.426650454,4.695727935,7.023589335,7.303074671,6.453055774,3.40052535,6.415766257,1.214444851,2.731221201,3.003325467,5.593229792,0.773715602,0.832048215,14.88309554,26.27084992,3.205168289,6.135396709
